Wavelength (nm),Intensity
4.350447692871093750e+02,5.863541793823242188e+01
4.352537231445312500e+02,5.863541793823242188e+01
4.354626770019531250e+02,5.863541793823242188e+01
4.356716308593750000e+02,5.855208206176757812e+01
4.358805847167968750e+02,5.855208206176757812e+01
4.360895385742187500e+02,5.863541793823242188e+01
4.362984924316406250e+02,5.929166793823242188e+01
4.365074768066406250e+02,5.934375000000000000e+01
4.367164306640625000e+02,5.944791793823242188e+01
4.369253845214843750e+02,5.956250000000000000e+01
4.371343383789062500e+02,5.969791793823242188e+01
4.373432922363281250e+02,5.980208206176757812e+01
4.375522460937500000e+02,5.990625000000000000e+01
4.377611999511718750e+02,5.995833206176757812e+01
4.379701538085937500e+02,5.865625000000000000e+01
4.381791076660156250e+02,5.882291793823242188e+01
4.383880615234375000e+02,5.914583206176757812e+01
4.385970153808593750e+02,5.948958206176757812e+01
4.388059692382812500e+02,5.957291793823242188e+01
4.390149230957031250e+02,5.956250000000000000e+01
4.392238769531250000e+02,5.940625000000000000e+01
4.394328308105468750e+02,5.932291793823242188e+01
4.396417846679687500e+02,6.032291793823242188e+01
4.398507385253906250e+02,6.032291793823242188e+01
4.400596923828125000e+02,6.032291793823242188e+01
4.402686462402343750e+02,6.032291793823242188e+01
4.404776000976562500e+02,6.032291793823242188e+01
4.406865539550781250e+02,6.032291793823242188e+01
4.408955078125000000e+02,6.032291793823242188e+01
4.411044921875000000e+02,6.032291793823242188e+01
4.413134460449218750e+02,7.487500000000000000e+01
4.415223999023437500e+02,7.519791412353515625e+01
4.417313537597656250e+02,7.559375000000000000e+01
4.419403076171875000e+02,7.595833587646484375e+01
4.421492614746093750e+02,7.628125000000000000e+01
4.423582153320312500e+02,7.630208587646484375e+01
4.425671691894531250e+02,7.623958587646484375e+01
4.427761230468750000e+02,7.620833587646484375e+01
4.429850769042968750e+02,7.582291412353515625e+01
4.431940307617187500e+02,7.591666412353515625e+01
4.434029846191406250e+02,7.598958587646484375e+01
4.436119384765625000e+02,7.608333587646484375e+01
4.438208923339843750e+02,7.625000000000000000e+01
4.440298461914062500e+02,7.632291412353515625e+01
4.442388000488281250e+02,7.641666412353515625e+01
4.444477539062500000e+02,7.648958587646484375e+01
4.446567077636718750e+02,9.433333587646484375e+01
4.448656616210937500e+02,9.475000000000000000e+01
4.450746154785156250e+02,9.533333587646484375e+01
4.452835693359375000e+02,9.600000000000000000e+01
4.454925231933593750e+02,9.741666412353515625e+01
4.457015075683593750e+02,9.841666412353515625e+01
4.459104614257812500e+02,9.958333587646484375e+01
4.461194152832031250e+02,1.003333358764648438e+02
4.463283691406250000e+02,1.015416641235351562e+02
4.465373229980468750e+02,1.023958358764648438e+02
4.467462768554687500e+02,1.035104141235351562e+02
4.469552307128906250e+02,1.050833358764648438e+02
